"url","headline","summary","date","tag"
"https://www.bbc.com/news/articles/ce81x8ke8pgo","Jaguar says it has no plans to build cars in the US","The comment came after the company's boss refused to rule out opening production plants in America.","2 days ago","Business"
"https://www.bbc.com/news/articles/czx4welpyjvo","Plan for new airport hangar to be built","The hanger would be built store L-159 ""Honey Badger"" fighter planes at Teesside Airport.","19 Apr 2025","Tees"
"https://www.bbc.com/news/articles/cjr7e2z1rxyo","Trump considering 100% tariffs on movies not made in the US","The president blamed foreign-made movies for the American film industry's ""very fast death"".","5 May 2025","Business"
"https://www.bbc.com/news/articles/cly1e7ll07do","Car giant Ford and Barbie maker Mattel warn over tariffs costs","The firms join a growing list of big businesses cautioning about the impact of Trump's import taxes.","6 May 2025","Business"
"https://www.bbc.com/sport/rugby-union/articles/cly8ev8gl81o","Flutey among Black Ferns coaches for Rugby World Cup","Former England and British and Irish Lions international Riki Flutey joins the New Zealand women's national team as a coach.","28 Apr 2025","Rugby Union"
"https://www.bbc.com/news/articles/cy9vy7yq849o","Three more UK interest rate cuts this year, predicts IMF","But the IMF also sees UK inflation going up as bills rise, while economies will be hit by Trump tariffs.","22 Apr 2025","Business"
"https://www.bbc.com/news/articles/c4gezw5n579o","Letting off steam: How Dominica's volcanoes will boost its green energy","The Caribbean island is building a power station that will use steam naturally heated by volcanic rock.","2 days ago","Latin America"
"https://www.bbc.com/sport/football/articles/c7vnpg1mrnvo","Toney's Al-Ahli win Champions League for first time","England international Ivan Toney celebrates his first trophy with Al-Ahli as the Saudi club win the Asian Champions League for the first time.","4 May 2025","Football"
"https://www.bbc.com/sport/olympics/articles/c753wz299d5o","Bronze medallist Doyle begins journey to LA 2028","Olympic bronze medallist Philip Doyle will return to international action for the first time since the Paris Games at the European Rowing Championships later this month.","3 days ago","Olympic Games"
"https://www.bbc.comNA","Watch: Belfast City Marathon 2025 LIVE","Mark Simpson and Nicola McCarthy present live coverage from around the course, as local and international runners take on the 26.2 mile Belfast City Marathon route",NA,NA
"https://www.bbc.com/news/articles/cx2708dl9n1o","China warns nations against 'appeasing' US in trade deals","Beijing was responding to reports that the US will pressure other nations to restrict trade with China.","21 Apr 2025","Business"
"https://www.bbc.com/news/articles/cy0x50yr46lo","Musk to reduce Doge role after Tesla profits plunge","The tech boss says he intends to spend only one to two days a week on Trump administration matters.","23 Apr 2025","Technology"
"https://www.bbc.com/news/articles/czrve1zrlg3o","How to avoid a puncture on the Moon","Giant tyre firms are testing tyres that can survive conditions on the Moon and Mars.","4 days ago","US & Canada"
"https://www.bbc.comNA","US growth forecast to be hit hardest from Trump tariffs, IMF says","The International Monetary Fund says US tariffs and market uncertainty will lead to a significant worldwide slowdown.",NA,NA
"https://www.bbc.com/news/articles/cly80zlk1lyo","California passes Japan as fourth largest economy","The US state expresses worries that President Donald Trump's tariffs could stunt future growth.","25 Apr 2025","World"
"https://www.bbc.com/news/articles/ckg2ekjjgldo","Colombia's wind farms bring promise and pain for indigenous group","The South American country is turning to wind power, but some local people are unhappy.","4 May 2025","Latin America"
"https://www.bbc.com/news/articles/c70zy5w983go","Trump eases car tariffs after firms raised concerns","The president said the move would give companies relief while they adjust their supply chains.","29 Apr 2025","Business"
"https://www.bbc.com/news/articles/c0jzqqdgjjxo","Surprise as 100 Spaniards turn up at non-league game","Harborough Town's home match had some international visitors - but why were they there?","18 Apr 2025","Leicestershire"
"https://www.bbc.com/audio/play/p0l0218w","'You can tell it's the international break'","Gaz Drinkwater and Joe McGrath look at who's performing well for their countries.","24 Mar 2025","Podcasts"
"https://www.bbc.com/news/articles/cze1erz9jxko","Is the US finally on track to build a high-speed rail network?","The US currently has no high-speed rail services, but two are under construction, and more planned.","3 days ago","Business"
"https://www.bbc.com/news/articles/czx415erwkwo","Global growth forecast slashed by IMF over tariff impact","The US suffers the biggest downgrade to growth among advanced economies, in the influential International Monetary Fund's latest forecast.","22 Apr 2025","Business"
"https://www.bbc.com/news/articles/czrveyj87l5o","Company bosses warn over tariffs impact","Several firms have cut their profit forecasts or withdrawn them citing economic uncertainty.","25 Apr 2025","Business"
